DATE,BASEL_temp_mean,BASEL_temp_min,BASEL_temp_max,BASEL_humidity,BASEL_pressure,BASEL_cloud_cover,BASEL_global_radiation,BASEL_precipitation,BASEL_sunshine
20001220,4.5,2.7,6.4,0.82,1.0206,8,0.13,0.0,0.0
20001221,3.3,1.7,4.3,0.81,1.0223,8,0.18,0.0,0.0
20001222,0.4,-1.7,1.9,0.8,1.0207,4,0.45,0.0,3.5
20001223,0.3,-1.7,3.6,0.8,1.0157,0,0.6,0.0,7.5
20001224,0.0,-2.1,1.7,0.78,1.0059,7,0.4,0.4,1.5
20001225,3.6,1.3,5.1,0.89,0.9965,8,0.17,0.46,0.0
20001226,5.9,4.5,8.9,0.85,0.9925,7,0.54,0.01,5.6
20001227,5.2,3.3,8.2,0.83,0.9921,5,0.37,0.04,1.7
20001228,2.6,-0.6,6.5,0.8,1.0002,6,0.17,0.01,1.1
20001229,1.1,-0.8,2.6,0.81,1.0021,8,0.16,0.17,0.0
20001230,1.0,-0.8,3.4,0.77,1.0069,4,0.43,0.01,3.3
